ID,lat,long,percentage,address,region
188,41.02681,28.68434,93.93,"Talatpasa Mh., Esenyurt Belediyesi",Esenyurt
189,41.01757,28.67919,93.9,"Talatpasa Mh., Haramidere Gokdelenler Bolgesi",Esenyurt
190,41.00594,28.6778,62.63,"Londra Asfalti, Namik Kemal, Haramidere Gokdelenler Bolgesi",Esenyurt
191,41.00199,28.67702,15.71,"34-85, Yakuplu Mahallesi, Yakuplu",Beylikduzu
192,41.02571,28.96837,92.81,"Refik Saydam Caddesi, Bedrettin Mahallesi, Kasimpasa",Beyoglu
193,41.01805,28.97159,52.67,"BALIK EKMEK, Ragip Gumuspala Caddesi, Rustempasa Mahallesi, Tahtakale",Fatih
194,41.02318,28.97107,39.98,"Galata Bedesteni, Tersane Caddesi, Arap Cami Mahallesi, Arapcami",Beyoglu
195,41.03675,28.98141,92.58,"?? ???? ?????, Tarlabasi Bulvari, Sehit Muhtar, Tarlabasi",Beyoglu
196,41.03339,28.97433,93.62,"Tepebasi, Refik Saydam Caddesi, Kamer Hatun, Istiklal",Beyoglu
197,41.02761,28.96946,93.81,"Sishane 4, Refik Saydam Caddesi, Bedrettin, Bedrettin Mahallesi, Kasimpasa",Beyoglu
198,41.03736,28.99316,6.32,"Teknik Universite, Inonu Caddesi, Omer Avni, Omer Avni Mahallesi, Purtelas",Beyoglu
199,41.04184,28.98323,5.55,"Marti Istanbul Hotel, Yedi Kuyular Caddesi, Kocatepe Mahallesi, Taksim",Beyoglu
201,41.06596,28.97803,91.81,"Piyalepasa Bulvari, Kaptanpasa Mahallesi, Okmeydani",Sisli
202,41.05737,28.9719,93.66,"Mahmut Sevket Pasa Mahallesi, Okmeydani",Sisli
203,41.05264,28.96763,93.66,"Mahmut Sevket Pasa Mahallesi, Okmeydani",Sisli
204,41.04062,28.96664,94.08,"Piyalepasa Bulvari, Kaptanpasa Mahallesi, Kucuk Piyale",Beyoglu
205,41.03853,28.97188,83.52,"Kurtulus Deresi Caddesi, Sururi Mehmet Efendi, Bostan",Beyoglu
206,41.04252,28.98114,13.46,"Eskisehir Mahallesi, Pangalti",Sisli
209,41.06565,28.95114,10.22,"Hasbahce Caddesi, Nurtepe Mahallesi, Kagithane Merkez",Kagithane
210,41.09591,28.98215,77.92,"Cendere Yolu, Seyrantepe Mahallesi, Seyrantepe",Kagithane
211,41.08523,28.97874,72.45,"HALIC UNIVERSITESI, Cendere Yolu, Merkez Mahallesi, Kagithane Merkez",Kagithane
212,41.07939,28.97252,91.04,"Merkez Mahallesi, Kagithane Merkez",Kagithane
213,41.07397,28.96835,75.01,"Merkez Mahallesi, Kagithane Merkez",Kagithane
214,41.06598,28.95743,59.4,"Mehmet Akif Ersoy Mahallesi, Gursel",Kagithane
215,41.09011,28.96063,92.58,"Okmeydani Yolu, Guzeltepe Mahallesi, Alibeykoy",Eyupsultan
216,41.08052,28.96001,93.62,"Okmeydani Yolu, Guzeltepe Mahallesi, Alibeykoy",Eyupsultan
217,41.07114,28.95663,90.86,"Nurtepe Mahallesi, Kagithane Merkez",Kagithane
218,41.06166,28.95796,70.46,"Piyalepasa - Kagithane Tuneli, Mehmet Akif Ersoy Mahallesi, Okmeydani",Sisli
471,41.0911,29.0611,90,fsm,Besiktas
